category,avg_rating,total_reviews,rating_index
Electronics,4.081749049429658,15778848.0,67.65164725728961
Computers&Accessories,4.154966887417219,7739047.0,65.90520906982175
Home&Kitchen,4.042857142857143,2991069.0,60.28361589528086
OfficeProducts,4.309677419354839,149675.0,51.35509975650554
MusicalInstruments,3.9,88882.0,44.440797090764946
Toys&Games,4.3,15867.0,41.58985706102715
HomeImprovement,4.25,8566.0,38.48660979084718
Health&PersonalCare,4.0,3663.0,32.82524290317608
Car&Motorbike,3.8,1118.0,26.676724691585314
